"src","tgt"
"Three men wearing yellow are standing among roadside construction , one of the men is in a hole .","Drei gelb gekleidete Männer stehen auf einer Baustelle auf der Straße , einer davon ist in einem Loch ."
"A group of gay men at a event .","Eine Gruppe schwuler Männer bei einer Veranstaltung ."
"A girl is riding a bike on the street while wearing a red helmet .","Ein Mädchen fährt auf der Straße Fahrrad und trägt dabei einen roten Helm ."
"Newlywed couple sharing a kiss .","Ein frisch vermähltes Paar küsst sich ."
"Two men wearing yellow and orange vests working by a highway exit sign .","Zwei Männer in gelber und orangefarbener Weste arbeiten bei einem Autobahnausfahrtschild ."
"Dog climbing on stuffed animals indoors , background TV shows breaking news .","Ein Hund , der in einem Raum auf ausgestopfte Tiere klettert , im Fernsehen im Hintergrund laufen die Nachrichten ."
"White man with American Flag cape and glasses stands in a group of people","Ein weißer Mann mit Brille in einem Umhang mit amerikanische Flagge steht in einer Menschengruppe ."
"A man in a sweatshirt eating a sandwich .","Ein Mann im Sweatshirt , der ein Sandwich isst ."
"A man standing in a suit wearing glasses while holding a piece of paper inside a tent .","Ein Mann mit Brille seht im Anzug in einem Zelt und hält ein Stück Papier ."
"Highway workers checking on roadwork .","Autobahnarbeiter kontrollieren Straßenarbeiten ."
"A young woman in a white Dior t @-@ shirt lifting a silverware drawer in a kitchen .","Eine junge Frau mit weißem Dior @-@ T @-@ Shirt hebt in einer Küche eine Besteckschublade ."
"A woman is balancing several items on her head that are in bags .","Eine Frau balanciert mehrere Gegenstände auf dem Kopf , die sich in Tüten befinden ."
"A group of children wearing false noses pose for a camera shot .","Eine Kindergruppe mit aufgesetzten Nase posiert für ein Foto ."
"A young girl wearing green is playing outside .","Ein grün gekleidetes Mädchen spielt im Freien ."
"A group of children sit together and work on arts and crafts .","Eine Kindergruppe sitzt zusammen und bastelt an etwas ."
"Man in yellow shirt and jeans laying on the pavement .","Ein Mann mit gelbem Hemd und Jeans , der auf der Straße liegt ."
"A crowd enjoying a musical band outdoors on a beautiful day .","Eine Menschenmenge , die an einem schönen Tag im Freien einer Band zuhört ."
"Several people waiting to play musical instruments","Mehrere Personen , die darauf warten , Ihre Instrumente zu spielen"
"A young girl dressed in a purple leotard , practicing on a gymnastics balance beam .","Ein Mädchen mit einem violetten Trikot das auf einem Schwebebalken übt ."
"A little baby cries in his moms arms .","Ein Baby schreit in den Armen seiner Mutter ."
"A view from under a table of a young boy laying in an older person 's lap .","Ein Blick auf einen Jungen im Schoß einer älteren Person , gesehen von unter dem Tisch ."
"A woman is feeding two babies .","Eine Frau stillt zwei Babys ."
"A white and brown dog is catching a red ball in its mouth .","Ein weiß @-@ brauner Hund fängt einen roten Ball in seinem Maul ."
"A man is standing a watching people on the street .","Ein Mann steht herum und beobachtet Menschen auf der Straße ."
"A group of young girls are running in a field .","Mehrere Mädchen rennen auf einem Feld ."
"A small boy in an orange hat running .","Ein kleiner Junge mit orangefarbener Mütze , der rennt ."
"A dog runs on wet sand as a man in yellow pants walks further back .","Ein Hund rennt auf nassem Sand , während ein Mann in gelben Hosen weiter hinten geht ."
"The boy in the red shirt is next to a blue wall .","Der Junge im roten Hemd befindet sich neben einer blauen Mauer ."
"A person in sarong walks toward several blue outdoor umbrellas while carrying a tan bag .","Ein Person in einem Sarong geht auf mehrere blaue Schirme im Freien zu und trägt eine gelbbraune Tasche ."
"A dog runs through the woods near a cottage .","Ein Hund rennt neben einer Hütte durch den Wald ."
"A black dog with white paws is jumping on hay bales .","Ein schwarzer Hund mit weißen Pfoten springt auf Heuballen ."
"A man appears to be sleeping in a warehouse of chickens .","Ein Mann scheint in einem Hühner @-@ Lagerhaus zu schlafen ."
"A boy runs past a group of people with balloons in a race .","Ein Junge rennt bei einem Rennen an einer Gruppe von Personen mit Luftballons vorbei ."
"View of a passenger train through some leafless tree limbs .","Blick auf einen Personenzug durch laublose Äste ."
"A boy and a girl with a stuffed pink bear walk along the sidewalk .","Ein Junge und ein Mädchen mit einem rosafarbenen Teddybär gehen auf dem Bürgersteig entlang ."
"People skiing down a slope .","Leute , die mit Skiern einen Abhang hinunterfahren ."
"Young boy wearing a hood , smiling and hiding behind a tree .","Ein Junge mit Kapuze , der lächelt und sich hinter einem Baum versteckt ."
"One is running after a frisbee with another individual riding piggyback .","Eine Person rennt einer Frisbee @-@ Scheibe nach , eine andere reitet Huckepack ."
"Soccer players warming up on the field before a game .","Fußballspieler , die sich vor dem Spiel auf dem Spielfeld aufwärmen ."
"Two children playing in a river near a wooden bridge .","Zwei Kinder , die in einem Fluss nahe einer Holzbrücke spielen ."
"A man and woman holding hands are jumping into the water .","Ein Mann und eine Frau , die sich an den Händen halten , springen zusammen ins Wasser ."
"The man is playing with the shaggy little dog .","Der Mann spielt mit dem verwahrlosten kleinen Hund ."
"A man is looking on as another man attempts to climb a small boulder with his dirt bike .","Ein Mann sieht zu , wie ein anderer Mann versucht , mit seinem Dirtbike einen kleinen Felsblock hinaufzuklettern ."
"An older couple are standing by a Fairway shopping cart .","Ein älteres Paar steht beim einem Fairway @-@ Einkaufswagen ."
"A person covered partially with a pink blanket sleeps as a gray and white cat sleeps on the floor nearby .","Eine Person , die teilweise mit einer rosafarbenen Decke bedeckt ist , schläft , und eine grau @-@ weiße Katze schläft in der Nähe auf dem Boden ."
"Dogs racing at the racetrack .","Hunde , die auf der Rennbahn rennen ."
"Little boy in blue shirt and gray shorts running at a park .","Ein kleiner Junge mit blauem Hemd und grauen Shorts , der im Park rennt ."
"Two sisters on a country road chasing sheep .","Zwei Schwestern auf einer Landstraße , die Schafen nachrennen ."
"Two ladies on a sidewalk in a town and one is checking her camera .","Zwei Damen auf einem Bürgersteig in der Stadt , eine davon überprüft ihre Kamera ."
"A group of young people are playing in falling snow .","Eine Gruppe junger Menschen spielt im Schnee , der vom Himmel fällt ."
"A young man wearing a pink and white striped shirt is sitting next to a young man wearing a brown shirt .","Ein junger Mann mit rosa @-@ weiß @-@ gestreiftem Hemd sitzt neben einem jungen Mann mit einem braunen Hemd ."
"Two men are sitting on a couch .","Zwei Männer sitzen auf einer Couch ."
"A man with black hair and wearing a green shirt is scratching his head .","Ein Mann mit schwarzen Haaren und einem grünen Hemd kratzt sich am Kopf ."
"A man is playing the keyboard and singing into a microphone while a young boy watches .","Ein Mann spielt Keyboard und singt in ein Mikrofon , während ein Junge zusieht ."
"A person swinging on a swing","Eine Person , die auf einer Schaukel schaukelt"
"A man with long hair riding a bicycle gives the peace sign .","Ein Mann mit langen Haaren , der Fahrrad fährt , macht ein Peace @-@ Zeichen ."
"A young man with dreadlocks jumps high in the air near a wall .","Ein junger Mann mit Dreadlocks spring in der Nähe einer Wand hoch in die Luft ."
"A boy wears a wetsuit at the beach .","Ein Junge am Strand träge einen Taucheranzug ."
"A group of men are standing in lines with their guns on their side .","Eine Gruppe von Männern mit Gewehren an der Seite steht in Reihen ."
"Woman and man looking at something funny on a laptop screen .","Eine Frau und ein Mann , die etwas Lustiges auf einem Laptop betrachten ."
"A group of mostly nude children playing on a bridge over some water .","Eine Gruppe meist nackter Kinder , die auf einer Brücke über etwas Wasser spielen ."
"A man sitting on a boat being watched by police officers .","Ein Mann , der auf einem Boot sitzt und von Polizisten beobachtet wird ."
"A man sits and drinks a drink with other people in the background .","Ein Mann trinkt etwas im Sitzen , während sich andere Personen im Hintergrund befinden ."
"A group of people are crossing a river","Eine Gruppe von Menschen , die einen Fluss überqueren"
"A woman wading through a pool in front of a waterfall .","Eine Frau wadet vor einem Wasserfall durch einen Teich ."
"Three boys play football in the grass .","Drei Jungen spielen im Gras Football ."
"A old lady with a cane is crossing the street in the rain .","Eine alte Dame mit Gehstock überquert im Regen die Straße ."
"Two people are enjoying a scenic view from a park bench .","Zwei Personen blicken von einer Parkbank aus auf die schöne Landschaft ."
"A group of people are jumping into the air with their arms held high .","Eine Gruppe springt mit erhobenen Armen in die Luft ."
"A messy haired girl in a club .","Ein Mädchen mit Struwwelfrisur in einem Club ."
"A redheaded child sits looking through a railing at the water while people play on the beach in a distance .","Ein sitzendes rothaariges Kind blickt durch ein Geländer auf das Wasser , während in einiger Entfernung einige am Strand spielen ."
"Two people working together serving food at a restaurant .","Zwei Personen arbeiten zusammen in einem Restaurant und servieren Essen ."
"A young boy and girl play together in the sand .","Ein Junge und ein Mädchen spielen zusammen im Sand ."
"A female tennis player on a blue court prepares to hit the ball .","Eine Tennisspielerin auf einem blauen Platz bereitet sich darauf vor , den Ball zu schlagen ."
"A tennis player in a pink outfit serves the ball to her opponent .","Eine rosa gekleidete Tennisspielerin serviert ihrer Gegnerin den Ball ."
"A woman crosscountry skiing , with a brown dog .","Eine Frau mit einem braunen Hund , die Langlauf macht ."
"Two kids are photographed playing soccer in a field .","Zwei Kinder werden beim Fußballspielen fotografiert ."
"Cabins in winter surrounded by people enjoying the white powder .","Kabinen im Winter , umgeben von Personen , die sich am weißen Pulver freuen ."
"The girl in the brown shirt is hanging onto a blue pole .","Das Mädchen im braunen Oberteil hält sich an einem blauen Pfosten fest ."
"Two girls on a tandem bicycle , looking at wall art .","Zwei Mädchen auf einem Tandem , die ein Wandobjekt ansehen ."
"A woman wearing a white sun visor is playing tennis .","Eine Frau mit einem weißen Sonnenschild spielt Tennis ."
"A man examines a bike during a yard sale .","Ein Mann bei einem Hofverkauf untersucht ein Fahrrad ."
"A man in a suit and an officer smile for the camera .","Ein Mann im Anzug und ein Beamter lächeln für die Kamera ."
"A young man with a green shirt plays a blue guitar .","Ein junger Mann mit grünem Hemd spielt auf einer blauen Gitarre ."
"Two dogs play out in the snow covered grass .","Zwei Hunde spielen draußen im schneebedeckten Gras ."
"Two older men in front of a bus .","Zwei ältere Männer vor einem Bus ."
"A man in red shirt wearing sunglasses is leaning on the wall","Ein Mann mit rotem Hemd und Sonnenbrille lehnt sich an die Wand ."
"A boy is aiming a bow and arrow at a target .","Ein Junge zielt mit Pfeil und Bogen auf ein Ziel ."
"A man wearing a black hat walks along a road next to a building .","Ein Mann mit schwarzem Hut geht neben einem Gebäude eines Straße entlang ."
"The baby is holding someone 's arm .","Das Baby hält jemandes Arm ."
"A man and a woman are sitting at a table with jars of beer and cigarettes .","Ein Mann und eine Frau sitzen mit Biergläsern und Zigaretten an einem Tisch ."
"Two men , one playing a bagpipe and one adjusting the bagpipe .","Zwei Männer , einer der einen Dudelsack spielt , und einer , der den Dudelsack einstellt ."
"The large brown dog is walking through water in the ocean .","Der große braune Hund läuft im Meer durch das Wasser ."
"Woman in a blue raincoat walking in front of a cement wall .","Eine Frau mit einem blauen Regenmantel geht vor einer Betonwand vorbei ."
"The little girl is riding her red scooter .","Das kleine Mädchen fährt einen roten Roller ."
"Tennis player trying to reach the ball .","Ein Tennisspieler , der versucht , den Ball zu erreichen ."
"A female tennis player is standing with her feet apart on a court .","Eine Tennisspielerin steht mit gespreizten Beinen auf einem Platz ."
"A woman is holding a baby by a window .","Eine Frau neben einem Fenster hält ein Baby ."
"A man climbs a steep rock wall using safety ropes .","Ein Mann klettert mit Sicherungsseilen eine steile Felswand hoch ."
"A man reaches high to help him during his rock climb .","Ein Mann fasst weit nach oben , um beim Felsenklettern weiter zu kommen ."
"A brown dog is running through an obstacle course .","Ein brauner Hund rennt einen Hindernispfad entlang ."
"A young girl is sliding down a snowbank .","Ein Mädchen rutscht einen Schneehaufen hinunter ."
"A man jumps off a ramp on a snowboard .","Ein Mann spring auf einem Snowboard von einem Rampe ."
"A shirtless man with sunglasses looks at the camera during a beach party .","Ein Mann mit nacktem Oberkörper und Sonnenbrille blickt auf einer Strandparty in die Kamera ."
"A group of women and children stand together beside a vehicle and a river .","Eine aus Frauen und Kindern bestehende Gruppe steht neben einem Fahrzeug und einem Fluss zusammen ."
"A brown dog with green collar holding a stick in its mouth .","Ein brauner Hund mit grünem Halsband hält einen Stock im Maul ."
"A girl in a blue jacket stands in front of a drab crowd while they watch something .","Ein Mädchen mit blauer Jacke steht vor einer graubraunen Menschenmenge , die etwas beobachtet ."
"A dog runs across the grassy field .","Ein Hund rennt über die Wiese ."
"A person walks with an artistic contraption in front of the Ocean Blue Company .","Eine Person geht mit einem Kunstapparat vor der Ocean Blue Company vorbei ."
"A DJ standing under some bright lights with an advertisement .","Ein DJ , der mit einer Werbung unter hellen Lampen steht ."
"A lady wearing green and white shorts and top is on the beach clapping her hands .","Eine Dame mit grün @-@ weißen Shorts und Oberteil ist auf dem Strand und klatscht in die Hände ."
"A dog is playing with a football in the snow .","Ein Hund spielt im Schnee mit einem Football ."
"A child in a USA jacket shovels snow off the stairs in front of a house .","Ein Kind in einer USA @-@ Jacke schaufelt den Schnee von der Treppe vor einem Haus ."
"A child wearing red striped pajamas is smiling .","Ein Kind mit rot gestreiftem Schlafanzug lächelt ."
"A woman helps a boy to do the monkey bars .","Eine Frau hilft einem Jungen an einem Klettergerüst ."
"A man is playing a guitar .","Ein Mann mit Sonnenbrille spielt Gitarre ."
"A man in a beard and glasses sings along as he plays his ukulele .","Ein Mann mit Bart und Brille singt zur Ukele ."
"Eight people sitting down at a table indoors for refreshments .","Acht Personen sitzen an einem Tisch im Haus , um Erfrischungen zu sich zu nehmen ."
"Three girls sing and one girl plays the guitar on a stage in front of a small crowd .","Auf einer Bühne vor einer kleinen Zuhörerschaft singen drei Mädchen und eines spielt Gitarre ."
"Young blond woman with red beads , gray sweatshirt marked GONTAGA .","Eine blonde Frau mit roten Perlen und grauem Sweatshirt mit der Aufschrift GONTAGA ."
"A person in safety orange clothing is lying atop an open manhole .","Eine Person in orangefarbener Warnkleidung liegt auf einem offenen Einstiegsloch ."
"Photographers are taking pictures in a building .","Fotografen machen in einem Gebäude Aufnahmen ."
"A man with a beard and a blue shirt plays a guitar .","Ein Mann mit Bart und blauem Hemd spielt Gitarre ."
"Boy wearing a green and white soccer uniform running through the grass .","Ein Junge mit grün @-@ weißem Fußballdress , der über die Wiese rennt ."
"A man that is not wearing a shirt is brushing his teeth .","Ein Mann , der kein Hemd trägt , putzt sich die Zähne ."
"A group of people sit outside during a barbecue .","Eine Gruppe sitzt im Freien beim Grillen ."
"A young blond women and a man waiting to cross the street .","Eine blonde Frau und ein Mann warten , bis sie die Straße überqueren können ."
"A child plays with books on the floor .","Ein Kind spielt auf dem Boden mit Büchern ."
"A shirtless man shaves outside a garage while someone to the side holds up a mirror for him to see from .","Ein Mann mit nacktem Oberkörper rasiert sich vor einer Tankstelle , während ihm jemand einen Spiegel hinhält ."
"A group of people are organizing their chinese lanterns .","Eine Personengruppe bringt ihre chinesischen Laternen in Ordnung ."
"The surfer is wearing a black bodysuit while picking up her board .","Die Surferin trägt einen schwarzen Ganzkörperanzug und hebt ihr Surfbrett auf ."
"Two people stand near a red wheelbarrow .","Zwei Personen stehen bei einer roten Schubkarre ."
"Several people stand outside near metallic objects including a few posts .","Mehrere Personen stehen im Freien in der Nähe von Metallobjekten , darunter auch ein paar Stangen ."
"A woman looking at the daytime sky through a telescope that 's on a tripod .","Eine Frau , die tagsüber mit einem Teleskop auf einem Stativ den Himmel betrachtet ."
"A young boy in a bathing suit launches into the air over water while an older man looks on .","Ein Junge in einer Badehose springt über dem Wasser in die Luft , während ein älterer Mann zusieht ."
"A gentlemen dressed nicely looking at something on his desk .","Ein fein gekleideter Herr , der etwas auf seinem Schreibtisch anblickt ."
"Young girl eating a bowl of cereal out of a big white bowl .","Ein Mädchen , das Frühstücksgetreide aus einer großen weißen Schüssel isst ."
"A man barbecues chicken on a grill .","Ein Mann grillt Hähnchen auf einem Rost ."
"A black dog is attempting to catch a thrown object that is red .","Ein schwarzer Hund versucht ein Wurfobjekt zu fangen , das rot ist ."
"An elderly woman sweeping outside on a sunny day","Eine ältere Frau fegt an einem sonnigen Tag draußen ."
"A girl in a frilly pink dress , dancing on grass .","Ein Mädchen in einem gekräuselten rosafarbenen Kleid , das auf Gras tanzt ."
"A little girl in a floury , pink jacket , picks out a fruit from a vendors table .","Ein kleines Mädchen in einer blumigen rosafarbenen Jacke sucht vom Tisch eines Verkäufers Obst aus ."
"A man wearing an apron stands before some food and holds a blue container .","Ein Mann mit einer Schürze steht vor Lebensmitteln und hält einen blauen Behälter ."
"Young boy wearing a yellow shirt jumps onto the brown couch .","Ein Junge mit einem gelben Hemd spring auf die braune Couch ."
"A child wearing goggles and wrapped in a towel is crying in front of a pool .","Ein Kind mit Schwimmbrille , das vor einem Schwimmbecken in ein Handtuch eingewickelt ist , weint ."
"A woman with a white glove and several others .","Eine Frau mit einem weißen Handschuh und mehreren anderen ."
"A man in a cap and blue shirt pretends to choke a girl .","Ein Mann mit einer Mütze und einem blauen Hemd tut so , als ob er ein Mädchen würgt ."
"A blond girl wearing Groucho Marx glasses .","Ein blondes Mädchen mit Gruocho Marx @-@ Brille ."
"An adult is assisting a child in the act of ice @-@ skating .","Ein Erwachsener , der einem Kind beim Eislaufen hilft ."
"Kids in a locker room at school getting ready for a play .","Kinder in einem Umkleideraum der Schule , die sich auf ein Spiel vorbereiten ."
"A woman with light brown hair sits across a man with short medium brown hair .","Eine Frau mit hellbraunen Haaren sitzt einem Mann mit kurzen mittelbraunen Haaren gegenüber ."
"A small child jumps high above a sandy field .","Ein kleines Kind springt hoch über einem sandigen Feld ."
"A person wearing a wetsuit is surfing on a white surfboard .","Eine Person mit Taucheranzug surft auf einem weißen Surfbrett ."
"Person riding bicycle down dirt hill in wooded area","Eine Person , die in einem Waldgebiet mit dem Fahrrad einen Hügel hinunterfährt"
"A little girl in pajamas takes a picture with a camera","Ein kleines Mädchen im Schlafanzug fotografiert mit einer Kamera ."
"A man smiling and tying and apron .","Ein Mann , der lächelt und eine Schürze bindet ."
"A man is pushing a cart with wooden barrels across an empty street .","Ein Mann schiebt einen Karren mit Holzfässern über eine leere Straße ."
"A man on a boat that is standing and paddling on a river .","Ein Mann auf einem Boot , der im Stehen auf einem Fluss paddelt ."
"A woman spikes a volleyball as the opposing player tries to block the ball .","Eine Frau schmettert einen Volleyball , während die Gegenspielerin versucht , den Ball zu blocken ."
"An old man playing the violin is being watched by a child .","Ein älterer Mann , der Geige spielt , wird von einem Kind beobachtet ."
"Bridesmaids in gold dresses and others watch as a man in a suit hula hoops .","Brautjungfern in goldfarbenen Kleidern und andere sehen zu , wie ein Mann im Anzug mit einem Hula @-@ Hoop @-@ Reifen spielt ."
"This is our break fast time and we are posing for the photo .","Das ist unsere Frühstückszeit und wir posieren für das Foto ."
"A man and woman sit at a table inside a fast food restaurant .","Ein Mann und eine Frau sitzen in einem Fast @-@ Food @-@ Restaurant am Tisch ."
"An older woman in a white shirt holds a red bag behind some glass .","Eine ältere Frau mit weißem Oberteil hält eine rote Tasche hinter einem Glas ."
"The white dog ran across the tile floor .","Ein weißer Hund rennt über den Fliesenboden ."
"The helmeted boy is doing a stunt on a skateboard .","Der Junge mit Helm macht ein Kunststück auf dem Skateboard ."
"Two men are in a small boat and spraying water at something .","Zwei Männer befinden sich in einem kleinen Boot und spritzen Wasser auf etwas ."
"Two men in shorts and flip @-@ flops walking in front of the Farmer 's Market .","Zwei Männer in kurzen Hosen und Flipflops gehen vor dem Bauernmarkt vorbei ."
"A boy wearing winter clothing in an igloo","Ein Junge , der Winterkleidung trägt , in einem Iglu ."
"A girl is climbing a rock while someone is filming her .","Ein Mädchen klettert auf einen Felsen , während sie von jemandem gefilmt wird ."
"The blue team , Mustangs , are on a fast break , and are likely hoping to capitalize with some points .","Das blaue Team , die Mustangs , ist bei einem Fastbreak und hofft wahrscheinlich auf ein paar Punkte ."
"A black dog is running across a field .","Ein schwarzer Hund rennt über ein Feld ."
"A policeman on a white horse are patrolling the streets of the city .","Ein Polizist auf einem weißen Pferd patrouilliert die Straßen der Stadt ."
"Two women wearing scarves are waiting to cross the street .","Zwei Frauen mit Schal warten darauf , die Straße zu überqueren ."
"A woman wearing black addresses a group of people in a tiled room .","Eine schwarz gekleidete Frau spricht zu einer Gruppe in einem gefliesten Raum ."
"A woman and a young girl are sitting together at a table , playing Monopoly .","Eine Frau und ein Mädchen sitzen zusammen am Tisch und spielen Monopoly ."
"A lady with long hair and a hat walks down a sloping sidewalk paved with stone .","Eine Dame mit langen Haaren und Mütze geht einen abfallenden , mit Steinen gepflasterten Bürgersteig entlang ."
"The child wearing the green shirt is on the beach talking with some people .","Das Kind mit dem grünen Oberteil spricht am Strand mit ein paar Leuten ."
"A group of people are walking towards the water on a beach .","Eine Gruppe geht am Strand auf das Wasser zu ."
"Children are listening to a man in a blue shirt .","Kinder hören einem Mann mit blauem Hemd zu ."
"A group of people looking at a field of greenery .","Eine Gruppe blickt auf ein grünes Feld ."
"A little boy trying to brush a woman 's hair .","Ein kleiner Junge versucht , die Haare eine Frau zu bürsten ."
"Large group of individuals sits around as a man in a light colored polo speaks in front of a large wooden building .","Eine große Gruppe von Einzelpersonen sitzt herum , während ein Mann mit einem hellen Polohemd vor einem großen Holzgebäude spricht ."
"Musicians gather in a classroom to play guitar and other instruments .","Musiker versammeln sich in einem Klassenzimmer , um Gitarre und andere Instrumente zu spielen ."
"A boy wearing shorts , t @-@ shirt , flip @-@ flops and a backward hat is sitting in a folding chair , fishing off a wooden pier .","Ein mit kurzen Hosen , T @-@ Shirt , Flipflops und einer falsch herum aufgesetzten Mütze bekleideter Junge sitzt in einem Klappstuhl und angelt von einem hölzernen Landungssteg aus ."
"A little girl in a pink cardigan is jumping from the couch .","Ein kleines Mädchen mit rosafarbener Strickjacke springt vom Sofa ."
"A gathering of people around two long tables set with different colored bowls and plates .","Eine Versammlung von Menschen um zwei lange Tische , die mit Schüsseln und Tellern in verschiedenen Farben gedeckt sind ."
"A female is working in a laboratory with science equipment .","Eine weibliche Person arbeitet in einem Labor mit Forschungsausrüstung ."
"Dancers , in front of the Costa Rican flag , are finishing their performance .","Tänzer beenden ihre Vorstellung vor einer Fahne von Costa Rica ."
"A young girl with her hair standing up .","Ein Mädchen mit hochstehenden Haaren ."
"A group of young Middle Eastern kids posing for the picture","Eine Gruppe nahöstlicher Jugendlicher , die für das Bild posieren ."
"Man in glasses wearing flannel is in class , writing .","Ein Mann mit Brille und Flanellhose schreibt im Unterricht ."
"A man wearing a seat belt and sunglasses rests his head at an angle inside a vehicle .","Ein Mann mit einem Sitzgurt und Sonnenbrille lehnt seinen Kopf in einem Fahrzeug angewinkelt an ."
"Young man in white long @-@ sleeved shirt standing in front of mountains on a cloudy day .","Ein junger Mann mit weißem langärmeligen Hemd , der an einem wolkigen Tag vor Bergen steht ."
"A woman holding and posing an infant dressed in a hawaiin shirt on a skateboard .","Eine Frau einen Säugling in einem Hawaii @-@ Hemd auf einem Skateboard für die Kamera hält ."
"A woman talking to people sitting around her .","Eine Frau , die zu Leuten spricht , die um sie herum sitzen ."
"A man with glasses in a black shirt playing the drums .","Ein Mann mit Brille und schwarzem Hemd , der Schlagzeug spielt ."
"A man playing a orange colored guitar .","Ein Mann , der auf einer orangefarbenen Gitarre spielt ."
"A man in a white shirt hugs a girl with blond @-@ hair on the subway .","Ein Mann mit weißem Hemd umarmt in der U @-@ Bahn ein blondes Mädchen ."
"The saxophone player is performing on the street corner .","Der Saxophonspieler spielt an der Straßenecke ."
"A group of people are outside walking through a village street .","Eine Personengruppe befindet sich im Freien und geht auf einer Dorfstraße ."
"Person looking out over the ocean in awe .","Eine Person blickt ehrfurchtsvoll über das Meer ."
"A woman in a red jacket and orange glasses is jogging .","Eine Frau mit roter Jacke und orangefarbener Brille joggt ."
"Waiting for her scores after her tumbling routine is completed .","Sie wartet nach Abschluss des Bodenturnens auf ihre Punktzahlen ."
"Arms of fans lifted to band members as they play guitars and sing in low light .","Die zu Bandmitgliedern hochgestreckten Arme von Fans , während die Band in gedämpftem Licht auf Gitarren spielt und singt ."
"Four men in orange vests work on a road at night .","Vier Männer in orangefarbenen Westen arbeiten nachts auf einer Straße ."
"A woman and child ride a teeter @-@ taughter in a park .","Eine Frau und ein Kind auf einer Wippe im Park ."
"Construction workers at a construction site .","Bauarbeiter auf einer Baustelle ."
